period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
0,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,25.010510510510507,2.3723723723723733,0.0,2.3723723723723715,25.010510510510507,0.0,0.7,0.0,-0.0,0.0,0.0,140.0
1,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,18.043543543543542,4.114114114114113,0.0,4.114114114114113,18.043543543543542,0.0,0.6925925925925925,0.0,-0.0,0.0,0.0,140.0
2,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,11.797297297297298,5.675675675675674,0.0,5.675675675675677,11.797297297297298,0.0,0.6851851851851851,0.0,-0.0,0.0,0.0,140.0
3,4.0,0.6,34.5679012345679,21.4320987654321,0.0,0.0,0.6,0.0,0.6,2.818318318318319,0.0,0.0,0.0,2.818318318318319,0.0,0.6777777777777777,5.736336336336338,0.0,5.736336336336338,5.736336336336338,140.0
4,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,18.644144144144146,3.963963963963966,0.0,3.963963963963966,18.644144144144146,0.0,0.6770132275132275,0.0,-0.0,0.0,0.0,140.0
5,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,16.6021021021021,4.474474474474476,0.0,4.474474474474476,16.6021021021021,0.0,0.66960582010582,0.0,-0.0,0.0,0.0,140.0
6,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,13.95945945945946,5.135135135135137,0.0,5.135135135135137,13.95945945945946,0.0,0.6621984126984126,0.0,-0.0,0.0,0.0,140.0
7,4.0,0.6,34.5679012345679,21.4320987654321,0.0,0.0,0.6,0.0,0.6,2.370870870870874,0.0,0.0,3.552713678800501e-15,2.370870870870874,0.0,0.6547910052910052,5.225825825825828,0.0,5.225825825825828,5.225825825825828,140.0
8,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,3.121621621621621,0.0,0.0,0.0,3.121621621621621,0.0,0.654026455026455,0.0,-0.0,0.0,0.0,140.0
9,4.0,0.6,34.5679012345679,21.4320987654321,0.0,0.0,0.0,-0.0,0.0,0.0,8.288288288288284,0.0,8.288288288288287,-1.0531531531531613,1.0531531531531613,0.6466190476190475,0.0,-0.0,0.0,0.0,140.0
10,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,0.0,10.0,0.0,10.0,-11.500000000000007,11.500000000000007,0.6458544973544973,0.0,-0.0,0.0,0.0,140.0
