period,agv_charge_count_da,grid_buy_da_mw,grid_sell_da_mw,spill_da_mw
0,0.0,22.638138138138135,0.0,0.0
1,0.0,13.92942942942943,0.0,0.0
2,0.0,6.121621621621621,0.0,0.0
3,0.0,2.818318318318319,0.0,0.0
4,0.0,14.68018018018018,0.0,0.0
5,0.0,12.127627627627625,0.0,0.0
6,0.0,8.824324324324323,0.0,0.0
7,0.0,2.3708708708708706,0.0,0.0
8,0.0,3.121621621621621,0.0,0.0
9,4.0,0.0,9.341441441441448,0.0
10,0.0,0.0,21.500000000000007,0.0
11,0.0,0.0,19.3978978978979,0.0
12,0.0,0.0,7.082582582582582,0.0
13,0.0,1.1756756756756772,0.0,0.0
14,0.0,4.328828828828829,0.0,0.0
15,2.967426207569636,0.0,2.8807118946903785,0.0
16,6.967426207569637,0.0,8.88731850129699,0.0
17,2.9674262075696367,0.0,5.733564747543234,0.0
18,0.0,0.0,17.53003003003003,0.0
19,2.0,0.0,11.524324324324322,0.0
20,0.0,0.0,7.1246246246246265,0.0
21,0.0,0.0,4.271771771771771,0.0
22,0.0,0.0,5.022522522522522,0.0
23,0.0,0.0,0.9684684684684726,0.0
24,0.0,1.5840840840840844,0.0,0.0
25,4.0,0.0,2.365465465465467,0.0
26,1.8623354537332992,0.0,0.43386289515321896,0.0
27,0.0,0.0,0.8633633633633657,0.0
28,0.0,0.18768768768768673,0.0,0.0
29,4.0,0.0,3.2663663663663676,0.0
30,8.0,0.0,5.7144144144144144,0.0
31,10.756756756756761,0.0,7.553153153153154,0.0
32,14.756756756756761,0.0,6.953153153153154,0.0
33,10.756756756756761,0.0,5.901501501501501,0.0
34,6.756756756756761,0.0,0.0,0.0
35,5.7557557557557715,0.0,0.0,0.0
36,9.755755755755771,0.0,1.6522522522522516,0.0
37,9.999999999999998,0.0,5.66966966966967,0.0
38,13.999999999999998,0.0,10.73033033033033,0.0
39,10.0,0.0,8.927927927927929,0.0
40,6.0,0.0,2.1705705705705705,0.0
41,2.0,0.0,1.419219219219223,0.0
42,0.0,0.8333333333333321,0.0,0.0
43,4.0,0.0,0.9690690690690694,0.0
44,8.0,0.0,0.6693693693693696,0.0
45,4.454454454454459,0.0,0.0,0.0
46,5.45545545545546,0.0,0.0,0.0
47,4.0,0.0,1.4195195195195196,0.0
48,0.0,10.037537537537537,0.0,0.0
49,0.0,8.385885885885884,0.0,0.0
50,0.0,12.28978978978979,0.0,0.0
51,0.0,15.74024024024024,0.0,0.0
52,0.0,17.388888888888886,0.0,0.0
53,0.0,17.08858858858859,0.0,0.0
54,0.0,23.24174174174174,0.0,0.0
55,0.0,28.644144144144143,0.0,0.0
56,0.0,31.346846846846844,0.0,0.0
57,0.0,31.94744744744745,0.0,0.0
58,0.0,35.9984984984985,0.0,0.0
59,0.0,34.1966966966967,0.0,0.0
60,0.0,35.247747747747745,0.0,0.0
61,0.0,32.9954954954955,0.0,0.0
62,0.0,34.19369369369369,0.0,0.0
63,0.0,36.145645645645644,0.0,0.0
64,0.0,34.493993993993996,0.0,0.0
65,0.0,34.94444444444444,0.0,0.0
66,0.0,31.343843843843842,0.0,0.0
67,0.0,32.6951951951952,0.0,0.0
68,0.0,34.94444444444444,0.0,0.0
69,0.0,35.0945945945946,0.0,0.0
70,0.0,33.5960960960961,0.0,0.0
71,0.0,37.7972972972973,0.0,0.0
72,0.0,36.2957957957958,0.0,0.0
73,0.0,33.893393393393396,0.0,0.0
74,0.0,35.54504504504504,0.0,0.0
75,0.0,32.84234234234234,0.0,0.0
76,0.0,32.992492492492495,0.0,0.0
77,0.0,33.44294294294294,0.0,0.0
78,0.0,30.13963963963964,0.0,0.0
79,0.0,32.091591591591595,0.0,0.0
80,0.0,29.09159159159159,0.0,0.0
81,0.0,22.785285285285283,0.0,0.0
82,0.0,14.527027027027025,0.0,0.0
83,0.0,9.875375375375373,0.0,0.0
84,0.0,7.178678678678679,0.0,0.0
85,0.0,16.03753753753754,0.0,0.0
86,0.0,12.436936936936936,0.0,0.0
87,0.0,5.983483483483482,0.0,0.0
88,0.0,6.584084084084084,0.0,0.0
89,0.0,8.686186186186186,0.0,0.0
90,0.0,8.082582582582582,0.0,0.0
91,0.0,9.283783783783782,0.0,0.0
92,0.0,17.39189189189189,0.0,0.0
93,0.0,21.596096096096097,0.0,0.0
94,0.0,19.046546546546548,0.0,0.0
95,0.0,19.196696696696698,0.0,0.0
