period,agv_charge_count_da,grid_buy_da_mw,grid_sell_da_mw,lohc_power_da_mw,lohc_ramp_abs_da_mw,spill_da_mw
85,4.0,21.822522522522522,0.0,0.2,0.0,0.0
86,8.0,19.06216216216216,0.0,0.2,0.0,0.0
87,12.0,14.59009009009009,0.0,0.2,0.0,0.0
88,12.738727255997773,15.061259538850116,0.0,0.2,0.0,0.0
89,8.738727255997773,15.722520800111377,0.0,0.2,0.0,0.0
90,4.738727255997773,15.960358637949215,0.0,0.2,0.0,0.0
91,0.7387272559977731,16.081079358669935,0.0,0.2,0.0,0.0
92,0.0,20.835135135135136,0.0,0.2,0.0,0.0
93,0.0,23.357657657657658,0.0,0.2,0.0,0.0
94,0.0,20.627927927927928,0.0,0.2,0.0,0.0
95,0.0,20.718018018018018,0.0,0.2,0.0,0.0
