period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,agv_lohc_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,hydrogen_inventory,hydrogen_inventory_kg,hydrogen_to_lohc_kg,lohc_deviation_mw,lohc_deviation_negative_mw,lohc_deviation_positive_mw,lohc_inventory,lohc_inventory_kg,lohc_outbound_kg,lohc_outbound_normalized,lohc_power_rt_mw,lohc_production_kg,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
0,4.00000000000001,0.6000000000000014,34.5679012345679,21.43209876543209,0.0,0.0,0.0,0.0,0.0,1.4432899320127035e-15,28.842893279468253,0.0,0.0,7.105427357601002e-15,28.842893279468253,0.0,0.5609756097560976,1150.0,87.75616291687375,0.0,-0.0,0.0,0.6476190476190476,680.0,0.0,0.0,0.8600103965853627,86.00103965853627,0.7,0.0,-0.0,0.0,0.0,140.0
1,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,23.01766805424303,0.0,0.0,7.105427357601002e-15,23.01766805424303,0.0,0.5505502106496349,1128.6279318317515,87.75616291687375,0.0,-0.0,0.0,0.7295247996747964,766.0010396585362,0.0,0.0,0.8600103965853627,86.00103965853627,0.6992354497354497,0.0,-0.0,0.0,0.0,140.0
2,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.6,0.6,0.0,23.348648648648656,4.415665279090313,0.0,4.4156652790903195,23.348648648648656,0.0,0.5176378444278245,1061.15758107704,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8114305517305452,852.0020793170725,0.0,0.0,0.2,20.0,0.6918280423280423,0.0,-0.0,0.0,0.0,140.0
3,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,22.02732732732733,5.676325939750975,0.0,5.676325939750978,22.02732732732733,0.0,0.5248432249048669,1075.9286110549772,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8304781707781643,872.0020793170726,0.0,0.0,0.2,20.0,0.6844206349206349,0.0,-0.0,0.0,0.0,140.0
4,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.6,0.6,0.0,26.772072072072074,2.7039535673785986,0.0,2.7039535673785977,26.772072072072074,0.0,0.5385621109850736,1104.0523275194007,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8495257898257834,892.0020793170726,0.0,0.0,0.2,20.0,0.6770132275132275,0.0,-0.0,0.0,0.0,140.0
5,0.0,0.0,34.5679012345679,16.4097502994151,9.022348466017,0.0,0.0,0.0,-0.0,0.0,25.751051051051057,3.8144640778891103,0.0,3.8144640778891166,25.751051051051057,0.0,0.5550367109743112,1137.8252574973378,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8685734088734025,912.0020793170727,57.517471470858375,0.05477854425796036,0.2,20.0,0.66960582010582,0.0,-0.0,0.0,0.0,140.0
6,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.6,0.6,0.0,24.429729729729736,3.8751247385497694,0.0,3.8751247385497756,24.429729729729736,0.0,0.5616157928356648,1151.3123753131129,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8328424836630612,874.4846078462143,0.0,0.0,0.2,20.0,0.6602650523128375,0.0,-0.0,0.0,0.0,140.0
7,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,20.048348348348352,5.165815429240461,0.0,5.165815429240467,20.048348348348352,0.0,0.5703242899903606,1169.1647944802392,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8518901027106803,894.4846078462143,0.0,0.0,0.2,20.0,0.6528576449054301,0.0,-0.0,0.0,0.0,140.0
8,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,20.348648648648656,5.015665279090315,0.0,5.015665279090321,20.348648648648656,0.0,0.5817885010540873,1192.666427160879,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8709377217582994,914.4846078462144,0.0,0.0,0.2,20.0,0.6454502374980227,0.0,-0.0,0.0,0.0,140.0
9,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.03998960341464084,0.03998960341464084,0.0,15.123423423423418,7.58828828828828,0.0,7.588288288288284,15.123423423423418,0.0,0.5961336857499828,1222.0740557874649,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8899853408059185,934.4846078462144,0.0,0.0,0.2,20.0,0.6380428300906152,0.0,-0.0,0.0,0.0,140.0
10,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.6399896034146408,0.6399896034146408,0.0,8.699999999999996,8.699999999999992,0.0,8.699999999999996,8.699999999999996,0.0,0.6098525718301895,1250.1977722518884,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.9090329598535376,954.4846078462144,0.0,0.0,0.2,20.0,0.6306354226832078,0.0,-0.0,0.0,0.0,140.0
11,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.03998960341464084,0.03998960341464084,0.0,9.540840840840843,8.87957957957958,0.0,8.879579579579579,9.540840840840843,0.0,0.6344690538233823,1300.6615603379337,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.9280805789011567,974.4846078462145,0.0,0.0,0.2,20.0,0.6232280152758004,0.0,-0.0,0.0,0.0,140.0
12,0.0,0.0,34.5679012345679,7.105427357601002e-15,25.432098765432094,0.0,0.0,0.0,-0.0,0.0,12.666966966966974,5.856506119931155,0.0,5.856506119931161,12.666966966966974,0.0,0.6662253400354281,1365.7619470726277,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.9471281979487758,994.4846078462145,162.1296296296296,0.1544091710758377,0.2,20.0,0.615820607868393,0.0,-0.0,0.0,0.0,140.0
13,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,15.97027027027027,4.204854468279501,0.0,4.2048544682795,15.97027027027027,0.0,0.6962279901235451,1427.2673797532675,20.408163265306122,0.6600103965853628,0.6600103965853628,0.0,0.8117666459205571,852.354978216585,0.0,0.0,0.2,20.0,0.6029634650112501,0.0,-0.0,0.0,0.0,140.0
14,2.0000000000000018,0.30000000000000027,34.5679012345679,5.329070518200751e-15,23.432098765432094,0.0,0.0,0.0,-0.0,0.0,13.957307693882665,0.0,0.0,5.329070518200751e-15,13.957307693882665,0.0,0.7134541484516094,1462.5810043257993,87.75616291687375,0.0,-0.0,0.0,0.8308142649681762,872.3549782165851,149.3796296296296,0.14226631393298056,0.8600103965853627,86.00103965853627,0.5955560576038427,0.0,-0.0,0.0,0.0,140.0
15,6.000000000000002,0.9000000000000002,34.5679012345679,19.4320987654321,0.0,0.0,0.0,0.0,-0.0,0.0,8.764514901089868,0.0,1.7763568394002505e-15,0.0,8.764514901089868,0.0,0.690938339250234,1416.4235954629796,87.75616291687375,0.0,-0.0,0.0,0.7704537030909445,808.9763882454918,0.0,0.0,0.8600103965853627,86.00103965853627,0.5864489147466998,0.0,-0.0,0.0,0.0,140.0
