hour_boundary,lohc_inventory_kg
0,680
1,810.670825300812
2,941.341650601624
3,796.485666266754
4,727.544216979224
5,990
6,852.777777777778
7,660.462962962963
8,740.462962962963
9,708.018518518518
10,515.703703703703
11,595.703703703704
12,675.703703703704
13,877.759259259259
14,964.166666666666
15,1044.16666666667
16,919.907407407406
17,999.907407407406
18,755.648148148147
19,835.648148148148
20,915.648148148148
21,833.518518518518
22,589.259259259259
23,507.12962962963
24,425
