period,time_hour,series,value
0,0.0,wind_nominal_mw,11.861861861861865
1,0.25,wind_nominal_mw,20.57057057057057
2,0.5,wind_nominal_mw,28.37837837837838
3,0.75,wind_nominal_mw,31.68168168168168
4,1.0,wind_nominal_mw,19.81981981981982
5,1.25,wind_nominal_mw,22.372372372372375
6,1.5,wind_nominal_mw,25.675675675675677
7,1.75,wind_nominal_mw,29.12912912912913
8,2.0,wind_nominal_mw,28.37837837837838
9,2.25,wind_nominal_mw,41.44144144144145
10,2.5,wind_nominal_mw,50.00000000000001
11,2.75,wind_nominal_mw,47.8978978978979
12,3.0,wind_nominal_mw,32.58258258258258
13,3.25,wind_nominal_mw,24.324324324324323
14,3.5,wind_nominal_mw,21.17117117117117
15,3.75,wind_nominal_mw,25.825825825825824
16,4.0,wind_nominal_mw,32.432432432432435
17,4.25,wind_nominal_mw,28.67867867867868
18,4.5,wind_nominal_mw,30.03003003003003
19,4.75,wind_nominal_mw,24.324324324324323
20,5.0,wind_nominal_mw,24.624624624624627
21,5.25,wind_nominal_mw,21.77177177177177
22,5.5,wind_nominal_mw,22.52252252252252
23,5.75,wind_nominal_mw,18.468468468468473
24,6.0,wind_nominal_mw,15.915915915915916
25,6.25,wind_nominal_mw,15.465465465465465
26,6.5,wind_nominal_mw,13.213213213213214
27,6.75,wind_nominal_mw,13.363363363363366
28,7.0,wind_nominal_mw,12.312312312312313
29,7.25,wind_nominal_mw,16.366366366366368
30,7.5,wind_nominal_mw,14.414414414414415
31,7.75,wind_nominal_mw,16.666666666666668
32,8.0,wind_nominal_mw,16.666666666666668
33,8.25,wind_nominal_mw,15.015015015015015
34,8.5,wind_nominal_mw,13.513513513513514
35,8.75,wind_nominal_mw,13.363363363363366
36,9.0,wind_nominal_mw,15.615615615615617
37,9.25,wind_nominal_mw,19.66966966966967
38,9.5,wind_nominal_mw,30.33033033033033
39,9.75,wind_nominal_mw,27.92792792792793
40,10.0,wind_nominal_mw,20.57057057057057
41,10.25,wind_nominal_mw,19.219219219219223
42,10.5,wind_nominal_mw,16.666666666666668
43,10.75,wind_nominal_mw,19.06906906906907
44,11.0,wind_nominal_mw,19.36936936936937
45,11.25,wind_nominal_mw,18.16816816816817
46,11.5,wind_nominal_mw,18.31831831831832
47,11.75,wind_nominal_mw,19.51951951951952
48,12.0,wind_nominal_mw,12.462462462462463
49,12.25,wind_nominal_mw,14.114114114114116
50,12.5,wind_nominal_mw,10.21021021021021
51,12.75,wind_nominal_mw,9.75975975975976
52,13.0,wind_nominal_mw,11.111111111111112
53,13.25,wind_nominal_mw,11.411411411411411
54,13.5,wind_nominal_mw,8.258258258258259
55,13.75,wind_nominal_mw,5.855855855855856
56,14.0,wind_nominal_mw,3.153153153153154
57,14.25,wind_nominal_mw,2.5525525525525525
58,14.5,wind_nominal_mw,1.5015015015015014
59,14.75,wind_nominal_mw,3.3033033033033035
60,15.0,wind_nominal_mw,2.2522522522522523
61,15.25,wind_nominal_mw,4.504504504504505
62,15.5,wind_nominal_mw,6.306306306306308
63,15.75,wind_nominal_mw,4.354354354354355
64,16.0,wind_nominal_mw,6.006006006006006
65,16.25,wind_nominal_mw,5.555555555555556
66,16.5,wind_nominal_mw,6.156156156156157
67,16.75,wind_nominal_mw,4.804804804804806
68,17.0,wind_nominal_mw,5.555555555555556
69,17.25,wind_nominal_mw,5.405405405405406
70,17.5,wind_nominal_mw,3.9039039039039043
71,17.75,wind_nominal_mw,2.702702702702703
72,18.0,wind_nominal_mw,4.2042042042042045
73,18.25,wind_nominal_mw,6.606606606606607
74,18.5,wind_nominal_mw,4.954954954954955
75,18.75,wind_nominal_mw,7.6576576576576585
76,19.0,wind_nominal_mw,7.5075075075075075
77,19.25,wind_nominal_mw,7.057057057057058
78,19.5,wind_nominal_mw,10.360360360360362
79,19.75,wind_nominal_mw,8.408408408408409
80,20.0,wind_nominal_mw,8.408408408408409
81,20.25,wind_nominal_mw,14.714714714714715
82,20.5,wind_nominal_mw,22.972972972972975
83,20.75,wind_nominal_mw,24.624624624624627
84,21.0,wind_nominal_mw,21.32132132132132
85,21.25,wind_nominal_mw,12.462462462462463
86,21.5,wind_nominal_mw,13.063063063063064
87,21.75,wind_nominal_mw,16.516516516516518
88,22.0,wind_nominal_mw,15.915915915915916
89,22.25,wind_nominal_mw,13.813813813813814
90,22.5,wind_nominal_mw,17.41741741741742
91,22.75,wind_nominal_mw,16.216216216216218
92,23.0,wind_nominal_mw,8.108108108108109
93,23.25,wind_nominal_mw,3.9039039039039043
94,23.5,wind_nominal_mw,3.4534534534534536
95,23.75,wind_nominal_mw,3.3033033033033035
0,0.0,wind_lower_mw,9.489489489489491
1,0.25,wind_lower_mw,16.456456456456458
2,0.5,wind_lower_mw,22.7027027027027
3,0.75,wind_lower_mw,25.345345345345347
4,1.0,wind_lower_mw,15.855855855855854
5,1.25,wind_lower_mw,17.8978978978979
6,1.5,wind_lower_mw,20.54054054054054
7,1.75,wind_lower_mw,23.303303303303306
8,2.0,wind_lower_mw,22.7027027027027
9,2.25,wind_lower_mw,33.15315315315316
10,2.5,wind_lower_mw,40.00000000000001
11,2.75,wind_lower_mw,38.31831831831832
12,3.0,wind_lower_mw,26.066066066066064
13,3.25,wind_lower_mw,19.45945945945946
14,3.5,wind_lower_mw,16.936936936936938
15,3.75,wind_lower_mw,20.660660660660657
16,4.0,wind_lower_mw,25.945945945945947
17,4.25,wind_lower_mw,22.942942942942945
18,4.5,wind_lower_mw,24.024024024024023
19,4.75,wind_lower_mw,19.45945945945946
20,5.0,wind_lower_mw,19.6996996996997
21,5.25,wind_lower_mw,17.41741741741742
22,5.5,wind_lower_mw,18.01801801801802
23,5.75,wind_lower_mw,14.774774774774778
24,6.0,wind_lower_mw,12.732732732732734
25,6.25,wind_lower_mw,12.372372372372372
26,6.5,wind_lower_mw,10.570570570570572
27,6.75,wind_lower_mw,10.690690690690694
28,7.0,wind_lower_mw,9.84984984984985
29,7.25,wind_lower_mw,13.093093093093096
30,7.5,wind_lower_mw,11.531531531531531
31,7.75,wind_lower_mw,13.333333333333334
32,8.0,wind_lower_mw,13.333333333333334
33,8.25,wind_lower_mw,12.012012012012011
34,8.5,wind_lower_mw,10.81081081081081
35,8.75,wind_lower_mw,10.690690690690694
36,9.0,wind_lower_mw,12.492492492492495
37,9.25,wind_lower_mw,15.735735735735735
38,9.5,wind_lower_mw,24.264264264264263
39,9.75,wind_lower_mw,22.342342342342345
40,10.0,wind_lower_mw,16.456456456456458
41,10.25,wind_lower_mw,15.375375375375379
42,10.5,wind_lower_mw,13.333333333333334
43,10.75,wind_lower_mw,15.255255255255253
44,11.0,wind_lower_mw,15.495495495495497
45,11.25,wind_lower_mw,14.534534534534536
46,11.5,wind_lower_mw,14.654654654654653
47,11.75,wind_lower_mw,15.615615615615614
48,12.0,wind_lower_mw,9.96996996996997
49,12.25,wind_lower_mw,11.291291291291293
50,12.5,wind_lower_mw,8.168168168168169
51,12.75,wind_lower_mw,7.807807807807807
52,13.0,wind_lower_mw,8.888888888888891
53,13.25,wind_lower_mw,9.12912912912913
54,13.5,wind_lower_mw,6.606606606606607
55,13.75,wind_lower_mw,4.684684684684685
56,14.0,wind_lower_mw,2.522522522522523
57,14.25,wind_lower_mw,2.042042042042042
58,14.5,wind_lower_mw,1.201201201201201
59,14.75,wind_lower_mw,2.642642642642643
60,15.0,wind_lower_mw,1.8018018018018018
61,15.25,wind_lower_mw,3.6036036036036037
62,15.5,wind_lower_mw,5.045045045045046
63,15.75,wind_lower_mw,3.4834834834834836
64,16.0,wind_lower_mw,4.804804804804804
65,16.25,wind_lower_mw,4.4444444444444455
66,16.5,wind_lower_mw,4.924924924924925
67,16.75,wind_lower_mw,3.8438438438438447
68,17.0,wind_lower_mw,4.4444444444444455
69,17.25,wind_lower_mw,4.3243243243243255
70,17.5,wind_lower_mw,3.123123123123124
71,17.75,wind_lower_mw,2.1621621621621627
72,18.0,wind_lower_mw,3.363363363363364
73,18.25,wind_lower_mw,5.285285285285286
74,18.5,wind_lower_mw,3.9639639639639634
75,18.75,wind_lower_mw,6.126126126126126
76,19.0,wind_lower_mw,6.006006006006006
77,19.25,wind_lower_mw,5.645645645645646
78,19.5,wind_lower_mw,8.28828828828829
79,19.75,wind_lower_mw,6.726726726726728
80,20.0,wind_lower_mw,6.726726726726728
81,20.25,wind_lower_mw,11.771771771771771
82,20.5,wind_lower_mw,18.378378378378383
83,20.75,wind_lower_mw,19.6996996996997
84,21.0,wind_lower_mw,17.057057057057055
85,21.25,wind_lower_mw,9.96996996996997
86,21.5,wind_lower_mw,10.45045045045045
87,21.75,wind_lower_mw,13.213213213213214
88,22.0,wind_lower_mw,12.732732732732734
89,22.25,wind_lower_mw,11.051051051051052
90,22.5,wind_lower_mw,13.933933933933934
91,22.75,wind_lower_mw,12.972972972972974
92,23.0,wind_lower_mw,6.486486486486487
93,23.25,wind_lower_mw,3.123123123123124
94,23.5,wind_lower_mw,2.762762762762763
95,23.75,wind_lower_mw,2.642642642642643
0,0.0,wind_upper_mw,14.234234234234236
1,0.25,wind_upper_mw,24.684684684684683
2,0.5,wind_upper_mw,34.054054054054056
3,0.75,wind_upper_mw,38.01801801801802
4,1.0,wind_upper_mw,23.783783783783782
5,1.25,wind_upper_mw,26.846846846846848
6,1.5,wind_upper_mw,30.810810810810814
7,1.75,wind_upper_mw,34.95495495495496
8,2.0,wind_upper_mw,34.054054054054056
9,2.25,wind_upper_mw,49.72972972972973
10,2.5,wind_upper_mw,60.00000000000001
11,2.75,wind_upper_mw,57.47747747747748
12,3.0,wind_upper_mw,39.0990990990991
13,3.25,wind_upper_mw,29.189189189189186
14,3.5,wind_upper_mw,25.405405405405407
15,3.75,wind_upper_mw,30.99099099099099
16,4.0,wind_upper_mw,38.91891891891892
17,4.25,wind_upper_mw,34.414414414414416
18,4.5,wind_upper_mw,36.03603603603604
19,4.75,wind_upper_mw,29.189189189189186
20,5.0,wind_upper_mw,29.549549549549553
21,5.25,wind_upper_mw,26.126126126126124
22,5.5,wind_upper_mw,27.027027027027028
23,5.75,wind_upper_mw,22.16216216216217
24,6.0,wind_upper_mw,19.0990990990991
25,6.25,wind_upper_mw,18.55855855855856
26,6.5,wind_upper_mw,15.855855855855856
27,6.75,wind_upper_mw,16.036036036036037
28,7.0,wind_upper_mw,14.774774774774777
29,7.25,wind_upper_mw,19.63963963963964
30,7.5,wind_upper_mw,17.2972972972973
31,7.75,wind_upper_mw,20.0
32,8.0,wind_upper_mw,20.0
33,8.25,wind_upper_mw,18.01801801801802
34,8.5,wind_upper_mw,16.216216216216218
35,8.75,wind_upper_mw,16.036036036036037
36,9.0,wind_upper_mw,18.738738738738743
37,9.25,wind_upper_mw,23.603603603603606
38,9.5,wind_upper_mw,36.3963963963964
39,9.75,wind_upper_mw,33.513513513513516
40,10.0,wind_upper_mw,24.684684684684683
41,10.25,wind_upper_mw,23.063063063063066
42,10.5,wind_upper_mw,20.0
43,10.75,wind_upper_mw,22.882882882882882
44,11.0,wind_upper_mw,23.243243243243246
45,11.25,wind_upper_mw,21.801801801801805
46,11.5,wind_upper_mw,21.98198198198198
47,11.75,wind_upper_mw,23.423423423423426
48,12.0,wind_upper_mw,14.954954954954955
49,12.25,wind_upper_mw,16.936936936936938
50,12.5,wind_upper_mw,12.252252252252251
51,12.75,wind_upper_mw,11.711711711711713
52,13.0,wind_upper_mw,13.333333333333336
53,13.25,wind_upper_mw,13.693693693693692
54,13.5,wind_upper_mw,9.90990990990991
55,13.75,wind_upper_mw,7.027027027027027
56,14.0,wind_upper_mw,3.783783783783784
57,14.25,wind_upper_mw,3.063063063063063
58,14.5,wind_upper_mw,1.801801801801802
59,14.75,wind_upper_mw,3.963963963963964
60,15.0,wind_upper_mw,2.7027027027027026
61,15.25,wind_upper_mw,5.405405405405405
62,15.5,wind_upper_mw,7.567567567567568
63,15.75,wind_upper_mw,5.225225225225225
64,16.0,wind_upper_mw,7.207207207207208
65,16.25,wind_upper_mw,6.666666666666668
66,16.5,wind_upper_mw,7.387387387387388
67,16.75,wind_upper_mw,5.765765765765766
68,17.0,wind_upper_mw,6.666666666666668
69,17.25,wind_upper_mw,6.486486486486487
70,17.5,wind_upper_mw,4.684684684684686
71,17.75,wind_upper_mw,3.2432432432432434
72,18.0,wind_upper_mw,5.045045045045046
73,18.25,wind_upper_mw,7.927927927927928
74,18.5,wind_upper_mw,5.945945945945946
75,18.75,wind_upper_mw,9.18918918918919
76,19.0,wind_upper_mw,9.00900900900901
77,19.25,wind_upper_mw,8.468468468468469
78,19.5,wind_upper_mw,12.432432432432433
79,19.75,wind_upper_mw,10.090090090090092
80,20.0,wind_upper_mw,10.090090090090092
81,20.25,wind_upper_mw,17.65765765765766
82,20.5,wind_upper_mw,27.567567567567572
83,20.75,wind_upper_mw,29.549549549549553
84,21.0,wind_upper_mw,25.585585585585584
85,21.25,wind_upper_mw,14.954954954954955
86,21.5,wind_upper_mw,15.675675675675677
87,21.75,wind_upper_mw,19.81981981981982
88,22.0,wind_upper_mw,19.0990990990991
89,22.25,wind_upper_mw,16.576576576576574
90,22.5,wind_upper_mw,20.9009009009009
91,22.75,wind_upper_mw,19.45945945945946
92,23.0,wind_upper_mw,9.72972972972973
93,23.25,wind_upper_mw,4.684684684684686
94,23.5,wind_upper_mw,4.144144144144144
95,23.75,wind_upper_mw,3.963963963963964
0,0.0,wind_worst_mw,11.861861861861865
1,0.25,wind_worst_mw,20.57057057057057
2,0.5,wind_worst_mw,22.7027027027027
3,0.75,wind_worst_mw,25.345345345345347
4,1.0,wind_worst_mw,15.855855855855854
5,1.25,wind_worst_mw,17.8978978978979
6,1.5,wind_worst_mw,20.54054054054054
7,1.75,wind_worst_mw,23.303303303303302
8,2.0,wind_worst_mw,22.7027027027027
9,2.25,wind_worst_mw,33.15315315315316
10,2.5,wind_worst_mw,40.00000000000001
11,2.75,wind_worst_mw,38.31831831831832
12,3.0,wind_worst_mw,26.066066066066064
13,3.25,wind_worst_mw,19.45945945945946
14,3.5,wind_worst_mw,21.171171171171167
15,3.75,wind_worst_mw,25.825825825825824
16,4.0,wind_worst_mw,32.432432432432435
17,4.25,wind_worst_mw,28.67867867867868
18,4.5,wind_worst_mw,30.03003003003003
19,4.75,wind_worst_mw,24.324324324324323
20,5.0,wind_worst_mw,24.624624624624623
21,5.25,wind_worst_mw,21.77177177177177
22,5.5,wind_worst_mw,22.522522522522518
23,5.75,wind_worst_mw,18.468468468468476
24,6.0,wind_worst_mw,15.915915915915916
25,6.25,wind_worst_mw,15.465465465465465
26,6.5,wind_worst_mw,13.213213213213214
27,6.75,wind_worst_mw,13.363363363363364
28,7.0,wind_worst_mw,12.312312312312311
29,7.25,wind_worst_mw,16.366366366366368
30,7.5,wind_worst_mw,14.414414414414415
31,7.75,wind_worst_mw,16.666666666666668
32,8.0,wind_worst_mw,16.666666666666668
33,8.25,wind_worst_mw,15.015015015015017
34,8.5,wind_worst_mw,13.513513513513512
35,8.75,wind_worst_mw,13.363363363363364
36,9.0,wind_worst_mw,15.615615615615617
37,9.25,wind_worst_mw,19.66966966966967
38,9.5,wind_worst_mw,30.33033033033033
39,9.75,wind_worst_mw,27.92792792792793
40,10.0,wind_worst_mw,20.57057057057057
41,10.25,wind_worst_mw,19.219219219219223
42,10.5,wind_worst_mw,16.666666666666668
43,10.75,wind_worst_mw,19.06906906906907
44,11.0,wind_worst_mw,19.36936936936937
45,11.25,wind_worst_mw,18.16816816816817
46,11.5,wind_worst_mw,18.318318318318322
47,11.75,wind_worst_mw,19.51951951951952
48,12.0,wind_worst_mw,12.462462462462465
49,12.25,wind_worst_mw,14.114114114114116
50,12.5,wind_worst_mw,10.21021021021021
51,12.75,wind_worst_mw,9.75975975975976
52,13.0,wind_worst_mw,11.11111111111111
53,13.25,wind_worst_mw,11.411411411411411
54,13.5,wind_worst_mw,8.258258258258259
55,13.75,wind_worst_mw,5.855855855855856
56,14.0,wind_worst_mw,3.153153153153154
57,14.25,wind_worst_mw,2.5525525525525525
