case,component,signed_cost,total_objective
C1,DA grid purchase,258.11601674034864,102.5165764479994
C1,DA grid sale,-0.023851351351351423,102.5165764479994
C1,DA spill,0.0,102.5165764479994
C1,DA LOHC operation/ramp,0.011183307341869926,102.5165764479994
C1,RT grid deviation,10.298227259517578,102.5165764479994
C1,RT spill,0.43139639639639626,102.5165764479994
C1,RT spill deviation,0.5392454954954953,102.5165764479994
C1,RT LOHC adjustment,0.72,102.5165764479994
C1,RT AGV charge adjustment,0.5776344086021489,102.5165764479994
C1,Backlog penalties,0.0,102.5165764479994
C1,LOHC outbound revenue,-168.15327580835103,102.5165764479994
C2,DA grid purchase,190.4351351351351,187.8129337401918
C2,DA grid sale,-14.095835028576962,187.8129337401918
C2,DA spill,0.0,187.8129337401918
C2,DA LOHC operation/ramp,0.0,187.8129337401918
C2,RT grid deviation,8.47201201201201,187.8129337401918
C2,RT spill,1.074054054054055,187.8129337401918
C2,RT spill deviation,1.3425675675675688,187.8129337401918
C2,RT LOHC adjustment,0.0,187.8129337401918
C2,RT AGV charge adjustment,0.5849999999999962,187.8129337401918
C2,Backlog penalties,0.0,187.8129337401918
C2,LOHC outbound revenue,0.0,187.8129337401918
C3,DA grid purchase,257.7805328693809,120.67373793610236
C3,DA grid sale,-0.023851351351351423,120.67373793610236
C3,DA spill,0.0,120.67373793610236
C3,DA LOHC operation/ramp,0.011183307341869923,120.67373793610236
C3,RT grid deviation,9.464277503309766,120.67373793610236
C3,RT spill,0.2624999999999999,120.67373793610236
C3,RT spill deviation,0.3281249999999999,120.67373793610236
C3,RT LOHC adjustment,0.7199999999999992,120.67373793610236
C3,RT AGV charge adjustment,0.5789964157706151,120.67373793610236
C3,Backlog penalties,19.70525000000001,120.67373793610236
C3,LOHC outbound revenue,-168.15327580835094,120.67373793610236
C4,DA grid purchase,260.811643980492,104.72079643860596
C4,DA grid sale,-0.023851351351351423,104.72079643860596
C4,DA spill,0.0,104.72079643860596
C4,DA LOHC operation/ramp,0.009849974008536592,104.72079643860596
C4,RT grid deviation,8.869624276706805,104.72079643860596
C4,RT spill,0.6882688674588556,104.72079643860596
C4,RT spill deviation,0.8603360843235694,104.72079643860596
C4,RT LOHC adjustment,1.1880187138536533,104.72079643860596
C4,RT AGV charge adjustment,0.47018170146490024,104.72079643860596
C4,Backlog penalties,0.0,104.72079643860596
C4,LOHC outbound revenue,-168.153275808351,104.72079643860596
