period,time_hour,hydrogen_inventory_kg,lohc_inventory_kg,soc,backlog_teu
0,0.0,1150.0,680.0,0.7,0.0
1,0.25,1183.0497005392344,712.667706325203,0.6925925925925925,0.0
2,0.5,1170.0011184920058,745.3354126504059,0.6851851851851851,0.0
3,0.75,1171.8459175258583,778.0031189756089,0.6777777777777777,0.0
4,1.0,1187.0434030461977,810.6708253008119,0.6703703703703703,0.0
5,1.25,1207.8901020800497,843.3385316260149,0.6629629629629629,0.0
6,1.5,1208.45098895174,876.0062379512178,0.6555555555555554,0.0
7,1.75,1213.3771771747818,908.6739442764208,0.648148148148148,0.0
8,2.0,1223.9525789113368,941.3416506016238,0.6407407407407406,0.0
9,2.25,1240.433976593838,974.0093569268269,0.6399761904761904,0.0
10,2.5,1255.6314621141769,868.9136584341891,0.6342855843283972,0.0
11,2.75,1293.1690192561375,901.581364759392,0.6398685380064139,0.0
12,3.0,1345.3431750467469,796.4856662667544,0.6341779318586207,0.0
13,3.25,1393.9223767833018,667.0237429623277,0.6213207890014778,0.0
14,3.5,1416.309770411749,699.6914492875306,0.6139133815940704,0.0
15,3.75,1424.5741302564122,694.8765106540205,0.6085674819191431,0.0
16,4.0,1427.4460590199944,727.5442169792235,0.6111243602260213,0.0
17,4.25,1438.278243188982,760.2119233044265,0.6203240956757567,0.0
18,4.5,1460.4088543849966,719.9999999999998,0.6337169528186138,0.0
19,4.75,1254.3522581632644,969.9999999999998,0.6599061062577672,0.0
20,5.0,1285.3005813844447,990.0,0.6794524025540636,0.0
21,5.25,1306.4911721731928,1010.0,0.6905039898556509,0.0
22,5.5,1328.1953278268056,1030.0,0.6982341485858096,0.0
23,5.75,1345.0206172642022,1050.0,0.6993214501731112,0.0
24,6.0,1363.1298188637609,852.7777777777777,0.6864643073159683,0.0
25,6.25,1374.305894787644,872.7777777777775,0.6842301803318414,0.0
26,6.5,1381.1166693601758,620.4629629629627,0.6713730374746985,0.0
27,6.75,1387.1570966354104,640.4629629629628,0.6676693337709948,0.0
28,7.0,1389.3457874241583,660.4629629629628,0.6706084872101482,0.0
29,7.25,1391.7912606453388,680.4629629629628,0.6724404977921588,0.0
30,7.5,1392.439256839492,700.4629629629629,0.6809153655170265,0.0
31,7.75,1400.020378709321,720.4629629629629,0.6978849422366031,0.0
32,8.0,1404.2633289575283,740.462962962963,0.7214973760990369,0.0
33,8.25,1412.3580156922224,760.462962962963,0.7451098099614708,0.0
34,8.5,1420.4527024269164,780.462962962963,0.7620793866810476,0.0
35,8.75,1425.7227824048534,688.0185185185181,0.7667746092145054,0.0
36,9.0,1428.4250380584665,708.0185185185182,0.7686066197965158,0.0
37,9.25,1430.8705112796467,455.70370370370347,0.7557494769393729,0.0
38,9.5,1437.1677209873135,475.7037037037034,0.7520457732356693,0.0
39,9.75,1450.398056370656,495.7037037037034,0.7520059834458794,0.0
40,10.0,1481.8599444567014,515.7037037037035,0.7464504278903239,0.0
41,10.25,1509.2133136238278,535.7037037037034,0.7408948723347684,0.0
42,10.5,1523.9843436017647,555.7037037037035,0.7353393167792128,0.0
43,10.75,1536.44433168781,575.7037037037035,0.7364266183665145,0.0
44,11.0,1544.539018422504,595.7037037037036,0.7308710628109589,0.0
45,11.25,1556.7422240761166,615.7037037037036,0.7319583643982606,0.0
46,11.5,1569.4589945945943,635.7037037037036,0.726402808842705,0.0
47,11.75,1580.1215056536123,655.7037037037037,0.7208472532871495,0.0
48,12.0,1591.0407991450631,675.7037037037037,0.7186131263030227,0.0
49,12.25,1481.5653725041363,636.7314814814815,0.7170059834458797,0.0
50,12.5,1360.0211715388857,597.7592592592594,0.715398840588737,0.0
51,12.75,1241.3015773303912,737.7592592592592,0.7198075707474672,0.0
52,13.0,1115.9056398786538,877.7592592592592,0.7242163009061973,0.0
53,13.25,989.7393551296192,1017.7592592592592,0.7300946077845041,0.0
54,13.5,865.8841122724763,1033.8796296296296,0.7284874649273614,0.0
55,13.75,742.5424342801982,1050.0,0.7268803220702185,0.0
56,14.0,736.2573047986758,964.1666666666658,0.7192369202650519,0.0
57,14.25,725.8636563982346,984.1666666666658,0.7184723700005018,0.0
58,14.5,710.8479242140095,1004.166666666666,0.7110649625930943,0.0
59,14.75,694.8050623000547,1024.1666666666658,0.703657555185687,0.0
60,15.0,676.9647233590729,1044.166666666666,0.7028930049211366,0.0
61,15.25,662.2057736072802,902.0370370370364,0.6900358620639938,0.0
62,15.5,645.6493468284611,759.9074074074063,0.6771787192068509,0.0
63,15.75,510.4956769442912,899.9074074074063,0.6697713117994435,0.0
64,16.0,500.8723758411473,919.9074074074064,0.6623639043920361,0.0
65,16.25,487.91090311638175,939.9074074074064,0.6549564969846287,0.0
66,16.5,477.7740371483729,959.9074074074064,0.6541919467200784,0.0
67,16.75,466.8668238830668,979.9074074074064,0.646784539312671,0.0
68,17.0,456.9867403474904,999.9074074074064,0.6401785714285718,0.0
69,17.25,444.7956149200221,1019.9074074074064,0.6327711640211644,0.0
70,17.5,433.888401654716,877.7777777777769,0.6199140211640215,0.0
71,17.75,422.7244059569774,735.6481481481474,0.6070568783068786,0.0
72,18.0,408.9925859349146,755.6481481481474,0.5996494708994712,0.0
73,18.25,393.20650645339225,775.6481481481475,0.5922420634920638,0.0
74,18.5,379.9882512961942,795.6481481481475,0.5848346560846563,0.0
75,18.75,370.8785150579152,815.6481481481475,0.5774272486772489,0.0
76,19.0,358.94417206287926,835.6481481481476,0.5766626984126987,0.0
77,19.25,351.6319128516272,855.6481481481476,0.5825410052910056,0.0
78,19.5,344.0628712079427,875.6481481481477,0.5817764550264554,0.0
79,19.75,335.72348226696084,895.6481481481477,0.574369047619048,0.0
80,20.0,333.0333068394926,915.6481481481476,0.5669616402116405,0.0
81,20.25,327.00495979040267,773.5185185185181,0.5541044973544976,0.0
82,20.5,320.97661274131275,793.5185185185182,0.5466970899470902,0.0
83,20.75,325.73312785438503,813.5185185185182,0.5392896825396828,0.0
84,21.0,344.6126767512411,833.5185185185182,0.5318822751322754,0.0
85,21.25,366.3168324048539,691.3888888888887,0.5190251322751325,0.0
86,21.5,382.3717745449532,711.3888888888888,0.511617724867725,0.0
87,21.75,383.276553171539,569.2592592592592,0.4987605820105822,0.0
88,22.0,385.2084615278544,589.2592592592592,0.4979960317460319,0.0
89,22.25,393.0463658301159,447.1296296296297,0.4851388888888891,0.0
90,22.5,399.8571404026476,467.1296296296296,0.4777314814814817,0.0
91,22.75,403.0729609211252,487.1296296296296,0.4769669312169314,0.0
92,23.0,412.45155981798126,507.1296296296296,0.4762023809523812,0.0
93,23.25,419.7758992553778,365.00000000000006,0.4633452380952383,0.0
94,23.5,413.2339873414231,385.00000000000006,0.4581719576719577,0.0
95,23.75,399.5021673193602,405.0,0.4574074074074074,0.0
96,24.0,385.0,425.0,0.45,0.0
