iteration,lower_bound,global_upper_bound,gap_abs,gap_rel,theta,phase1_objective,cost_adversary_objective,scenario_count,action
1,177.01211372662988,188.20691895524556,11.194805228615678,0.05948136918004451,0.0,-0.0,11.19480522861571,2,add_cost_scenario
2,187.71918374019182,187.8129337401918,0.09374999999997158,0.000499166900452443,11.379883633633632,-0.0,11.473633633633632,2,certified
