family,period,value
grid_buy_da_mw,82,14.527027027027025
grid_buy_da_mw,83,9.875375375375373
grid_buy_da_mw,84,7.178678678678679
grid_buy_da_mw,85,16.03753753753754
grid_buy_da_mw,86,12.436936936936936
grid_buy_da_mw,87,5.983483483483482
grid_buy_da_mw,88,6.584084084084084
grid_buy_da_mw,89,8.686186186186186
grid_buy_da_mw,90,8.082582582582582
grid_buy_da_mw,91,9.283783783783782
grid_buy_da_mw,92,17.39189189189189
grid_buy_da_mw,93,21.596096096096097
grid_buy_da_mw,94,19.046546546546548
grid_buy_da_mw,95,19.196696696696698
grid_sell_da_mw,0,0.0
grid_sell_da_mw,1,0.0
grid_sell_da_mw,2,0.0
grid_sell_da_mw,3,0.0
grid_sell_da_mw,4,0.0
grid_sell_da_mw,5,0.0
grid_sell_da_mw,6,0.0
grid_sell_da_mw,7,0.0
grid_sell_da_mw,8,0.0
grid_sell_da_mw,9,9.341441441441448
grid_sell_da_mw,10,21.500000000000007
grid_sell_da_mw,11,19.3978978978979
grid_sell_da_mw,12,7.082582582582582
grid_sell_da_mw,13,0.0
grid_sell_da_mw,14,0.0
grid_sell_da_mw,15,2.8807118946903785
grid_sell_da_mw,16,8.88731850129699
grid_sell_da_mw,17,5.733564747543234
grid_sell_da_mw,18,17.53003003003003
grid_sell_da_mw,19,11.524324324324322
grid_sell_da_mw,20,7.1246246246246265
grid_sell_da_mw,21,4.271771771771771
grid_sell_da_mw,22,5.022522522522522
grid_sell_da_mw,23,0.9684684684684726
grid_sell_da_mw,24,0.0
grid_sell_da_mw,25,2.365465465465467
grid_sell_da_mw,26,0.43386289515321896
grid_sell_da_mw,27,0.8633633633633657
grid_sell_da_mw,28,0.0
grid_sell_da_mw,29,3.2663663663663676
grid_sell_da_mw,30,5.7144144144144144
grid_sell_da_mw,31,7.553153153153154
grid_sell_da_mw,32,6.953153153153154
grid_sell_da_mw,33,5.901501501501501
grid_sell_da_mw,34,0.0
grid_sell_da_mw,35,0.0
grid_sell_da_mw,36,1.6522522522522516
grid_sell_da_mw,37,5.66966966966967
