period,agv_charge_count_da,grid_buy_da_mw,grid_sell_da_mw,lohc_power_da_mw,lohc_ramp_abs_da_mw,spill_da_mw
85,0.0,21.22252252252252,0.0,0.2,0.0,0.0
86,0.0,17.86216216216216,0.0,0.2,0.0,0.0
87,4.0,13.390090090090089,0.0,0.2,0.0,0.0
88,0.0,13.150450450450451,0.0,0.20000000000000107,0.0,0.0
89,0.0,14.411711711711712,0.0,0.2,0.0,0.0
90,4.0,15.849549549549549,0.0,0.2,0.0,0.0
91,4.0,16.57027027027027,0.0,0.2,0.0,0.0
92,0.0,20.835135135135136,0.0,0.2,0.0,0.0
93,0.0,23.357657657657658,0.0,0.2,0.0,0.0
94,4.00000000000001,21.22792792792793,0.0,0.2,0.0,0.0
95,0.0,20.718018018018018,0.0,0.2,0.0,0.0
