period,ship.active_quay_cranes,ship.arrival_count,ship.delayed_out_of_current_day_count,ship.in_port_count,ship.quay_crane_power_kw,ship.shore_power_kw,ship.task_release,wind.available_power_kw
83,16.0,0.0,,10.0,8000.0,30000.0,140.0,24624.624624624626
84,16.0,0.0,,7.0,8000.0,21000.0,140.0,21321.32132132132
85,16.0,0.0,,7.0,8000.0,21000.0,140.0,12462.462462462463
86,16.0,0.0,,6.0,8000.0,18000.0,140.0,13063.063063063064
87,16.0,0.0,,4.0,8000.0,12000.0,140.0,16516.516516516516
88,16.0,0.0,,4.0,8000.0,12000.0,140.0,15915.915915915915
89,16.0,0.0,,4.0,8000.0,12000.0,140.0,13813.813813813815
90,16.0,2.0,,5.0,8000.0,15000.0,140.0,17417.41741741742
91,16.0,0.0,,5.0,8000.0,15000.0,140.0,16216.216216216217
92,16.0,0.0,,5.0,8000.0,15000.0,140.0,8108.108108108108
93,16.0,0.0,,5.0,8000.0,15000.0,140.0,3903.9039039039044
94,16.0,0.0,,4.0,8000.0,12000.0,140.0,3453.4534534534537
95,16.0,0.0,,4.0,8000.0,12000.0,140.0,3303.3033033033034
